title,productDesc,sellerID,price
Towels - Paper / Kraft,Closed lung biopsy,A31,24.67
Carbonated Water - Peach,Bartholin's gland op NEC,A17,71.58
Tea - Honey Green Tea,Perc extrac com duc calc,A17,15.63
Pheasants - Whole,Lower GI series,A20,86.33
Berry Brulee,Correction fetal defect,A43,95.12
Foil Wrap,Incis cx to assist deliv,A34,22.68
Chef Hat 25cm,Clos branch cleft fistul,A44,16.47
Rye Special Old,Arth/pros rem wo rep-elb,A32,40.03
Appetizer - Assorted Box,Laparoscopic cholecystec,A49,28.33
Ecolab - Hobart Washarm End Cap,Cryosurg destr rect les,A40,94.74
Sauce - Hp,Allogrft bone marrow NOS,A43,96.94
Spice - Montreal Steak Spice,Suture of lip laceration,A20,52.18
"Tomatoes - Vine Ripe, Yellow",Parasitology-endocrine,A32,33.75
Wine - Chenin Blanc K.w.v.,Intracapsul lens ext NEC,A15,98.21
Compound - Orange,Urethral reanastomosis,A44,96.37
Chicken - White Meat With Tender,Tot abd colectmy NEC/NOS,A40,39.99
Beer - Mill St Organic,Electroretinogram,A01,25.16
Kiwi,Knee joint biopsy,A10,12.01
"Rum - Cream, Amarula",Excise femur for graft,A26,67.03
"Lamb - Leg, Diced",Local gastr destruct NEC,A32,48.36
Flour Dark Rye,Oth plastic repair palat,A37,90.78
"Bread - Rolls, Corn",Oth op on >l extraoc mus,A38,53.04
"Pork - Back, Short Cut, Boneless",Total dacryoadenectomy,A30,29.88
Wine - Chablis J Moreau Et Fils,Brief interview & evalua,A50,79.57
Nescafe - Frothy French Vanilla,Ophthalmoscopy,A26,90.77
"Bread - Dark Rye, Loaf",High-dose infusion IL-2,A41,12.04
Bagel - Plain,Gastroscopy NEC,A40,85.23
Cranberries - Fresh,Cl fx reduc-finger,A11,5.75
Wine - Prem Select Charddonany,Appl ext fix-tib/fibula,A29,62.55
Pastry - Banana Tea Loaf,Lap abdperneal resc rec,A26,6.15
Chinese Lemon Pork,Transposit hand tend NEC,A30,50.05
Stock - Fish,Incis cx to assist deliv,A37,69.52
Wine - Casablanca Valley,Oth vagin pessary insert,A15,80.18
Cleaner - Pine Sol,Type 3 tympanoplasty,A41,12.85
Onion - Dried,Gastropexy,A19,99.74
Kumquat,Rep cystocel w grft/pros,A38,63.97
Bread - Triangle White,C & s-lymph system,A50,97.35
Celery,Removal oth vag pessary,A37,3.63
Petite Baguette,Extracran-intracr bypass,A11,15.49
Salmon - Canned,Duodenal lacerat suture,A48,48.13
"Bread - Rolls, Corn",Laryngeal fistula clos,A44,94.61
"Brandy - Orange, Mc Guiness",Electrocardiogram,A49,43.33
Pate - Liver,Suture vulvar laceration,A19,28.05
Filling - Mince Meat,Paraurethral suspension,A17,67.2
Jolt Cola,Oth part ostectomy NOS,A48,88.16
"Lamb - Loin, Trimmed, Boneless",Intra-ab bowel manip NOS,A01,93.74
Oneshot Automatic Soap System,Suture ext ear lac,A21,33.37
Trueblue - Blueberry,Arbovirus vaccinat NEC,A11,62.69
Chickhen - Chicken Phyllo,Revis/reinsert ocul imp,A29,47.64
Crackers Cheez It,Skin & subq op NEC,A36,47.87
"Doilies - 8, Paper",Opn fx red w int fix NOS,A22,51.29
Syrup - Pancake,Aorta-renal bypass,A44,98.27
Slt - Individual Portions,Inject ca chemother NEC,A50,91.24
